FinInstrmId,Market Cap
500575,46257.69
500620,14534.99
500645,20205.63
500650,1696.35
500655,8570.66
500660,54096.43
500670,8100.84
500672,2607.35
500674,13748.91
500464,337.23
500690,8152.85
500460,2038.11
500696,593577.24
500463,9113.61
500730,3221.08
500770,23794.24
500469,52034.39
500472,24049.1
500800,107052.71
500480,99103.16
500825,139649.42
500500,579.86
500840,23635.64
500850,106116.87
500870,22275.04
500875,528428.04
500877,29170.19
500680,24882.19
500777,949.2
500940,12936.94
500710,16358.08
500790,233012.68
500780,795.31
500820,229531.24
500830,65386.71
500878,15717.69
500890,325.53
501148,13.08
501295,373.27
501298,1114.43
501150,1665.38
501301,33344.83
501311,5.74
501314,31.61
501343,103.17
501370,43.85
501477,19.32
501421,2353.13
501351,17.74
501700,34.96
501391,236.02
501848,224.66
501423,7504.47
502090,3194.49
502133,35.86
502137,1257.31
501425,13964.85
501430,82.0
501455,4946.85
501622,25.42
501833,90.08
501831,249.0
502015,310.76
502157,2072.06
502168,982.0
502175,984.7
502180,1115.08
502445,57.72
502219,7391.64
502448,42.77
502587,159.6
502250,29.72
502865,562.96
502281,17.29
502330,1629.38
502294,83.79
502355,51629.22
502420,621.28
502820,215.63
502450,1863.98
502893,18.13
502873,42.44
502901,82.44
502937,202.54
503031,1329.38
502986,14490.26
503092,30.59
503100,53324.61
503101,4967.21
503162,141.14
503169,824.46
503229,58.29
503349,63.83
503310,15749.64
503624,13.56
503641,47.18
503663,142.18
503657,26.83
503675,5.37
503681,2770.0
503722,502.7
503685,29.68
503772,5.35
503776,50.31
503804,173.62
503806,95668.15
503811,3296.36
503960,3711.15
503837,30.81
504080,165.52
503816,240.94
504000,1746.48
504093,296.1
504112,2011.21
504028,427.51
504058,341.96
504180,32.52
504212,2706.24
504036,2263.84
504220,583.7
504240,583.2
504258,270.4
504067,18423.43
504351,175.73
504369,6.4
504741,2337.75
505029,83.85
505075,233.96
505196,2539.54
505232,574.16
505216,232.2
505242,4924.48
505283,9120.02
505299,287.56
505324,61.59
505302,151.07
505355,9113.64
505412,2279.09
505502,5.11
505504,1726.77
505515,18.49
505520,1.32
505523,30.42
504076,188.85
504132,771.15
504176,690.22
505685,38.61
505690,400.74
505693,116.13
505700,13994.7
505710,4980.73
505712,201.84
505714,15701.0
505720,650.24
505725,1896.23
505726,6148.73
505729,413.46
505737,203.83
505744,3215.54
505790,65741.32
505800,2245.9
505807,54.36
505827,149.52
505840,21.04
505850,385.9
505872,4080.69
505890,5130.82
505893,160.77
505978,330.14
506022,2919.03
506076,19279.12
506079,5.13
506105,32.16
506109,2711.71
506128,120.6
505650,89.7
505688,146.67
506222,5583.17
505854,419.29
506395,69112.96
506146,24.29
506134,228.26
506186,169.94
506194,1741.69
506597,1303.21
506618,1595.31
506640,140.61
506655,9926.11
506685,1559.28
506687,911.76
506690,4247.93
506734,81.47
506767,11762.3
506808,981.63
506820,22947.13
506852,641.48
506854,4726.16
506858,37.0
506863,31.42
506879,3915.12
506480,1955.64
506919,91.16
506935,15.93
506943,25772.35
506520,23.96
507180,84.66
507265,342.35
507300,37.74
507410,1461.17
506525,395.64
507488,1672.39
507490,244.79
507580,192.74
507598,106.69
507609,9.08
507621,198.85
507645,169.6
507685,269929.02
507690,48.62
507717,7650.24
507747,1925.12
507753,1077.75
507759,11.25
507779,465.23
506981,29.56
507315,306.63
507878,2078.63
507880,6862.39
507910,140.24
507917,12.27
507938,13.94
507944,1380.7
507946,65.28
507948,81.9
507966,16.1
507970,20.62
507981,63.0
507984,14.28
507998,159.54
508136,146.57
508486,5121.75
508494,68.6
508571,31.27
508664,25.61
508670,228.42
508807,1090.59
508814,2913.72
508869,105847.08
508875,318.76
508906,893.9
508918,63.61
508933,1324.52
508954,1463.26
508956,19.23
508963,16.02
508969,35.67
507833,17.79
507836,804.37
507864,71.32
508980,31.19
508989,3294.97
509009,145.36
509488,11421.66
509631,10239.39
509038,5.33
509196,50.43
509220,549.89
509496,14823.55
509732,4423.73
509820,1752.11
511413,1126.47
511176,24.16
511355,38.25
511333,812.04
511473,154.3
511493,17.26
511359,54.48
511505,159.12
511507,10.81
511525,30.82
511431,1072.36
511535,28.25
511543,20.26
511447,83.93
511441,8.57
511589,551.39
511593,29.56
511601,18.05
511605,907.86
511609,66.22
511611,12.3
511626,54.02
511636,18.18
511644,3.76
511658,59.84
511664,11.41
511523,41.1
511692,63.61
511696,80.71
511700,162.0
511702,498.0
511710,14.99
511712,39.94
511549,52.07
511714,249.65
511716,33.33
511724,148.28
511728,8.82
511551,2997.94
511630,134.92
511742,2107.44
511754,401.39
511758,24.59
511756,23.03
511764,71.52
511766,586.27
512008,3351.46
511768,1442.62
512014,477.79
511628,892.39
512026,6.2
512036,41.75
